pattern,department,college
AI中心,未分類,未分類
X實驗學士,未分類,未分類
中文一乙,未分類,未分類
中文一甲,未分類,未分類
中文一甲中文一乙,未分類,未分類
中文三乙,未分類,未分類
中文三甲,未分類,未分類
中文三甲中文三乙,未分類,未分類
中文二乙,未分類,未分類
中文二甲,未分類,未分類
中文二甲中文二乙,未分類,未分類
中文四乙,未分類,未分類
中文四甲,未分類,未分類
中文碩一中文博一中文碩二中文博二,未分類,未分類
中文碩一中文碩二,未分類,未分類
中文系,未分類,未分類
中東亞一,中東與中亞研究碩士學位學程,外國語文學院
中東亞一中東亞二,中東與中亞研究碩士學位學程,外國語文學院
亞太博一亞太博二,亞太研究英語博士學位學程,社會科學學院
亞太博一亞太博二亞太博三,亞太研究英語博士學位學程,社會科學學院
亞太碩一,亞太研究英語博士學位學程,社會科學學院
亞太碩一亞太碩二,亞太研究英語博士學位學程,社會科學學院
亞太碩一亞太碩二亞太碩三,亞太研究英語博士學位學程,社會科學學院
亞太碩一亞太碩二亞太碩三亞太碩四,亞太研究英語博士學位學程,社會科學學院
亞際碩一亞際碩二,未分類,未分類
人智學程,未分類,未分類
人智應學士,未分類,未分類
企博學一企博學二企博學三,未分類,未分類
企博學一企博學二企博學三企博學四企博學五,未分類,未分類
企博學三企博學四企博學五,未分類,未分類
企博學二企博學三企博學四企博學五,未分類,未分類
企博學四,未分類,未分類
企博產一,未分類,未分類
企博產二,未分類,未分類
企研碩一,未分類,未分類
企研碩一企研碩二,未分類,未分類
企研碩二,未分類,未分類
企管三甲企管三乙,未分類,未分類
企管三甲企管三乙企管四甲企管四乙,未分類,未分類
企管二甲企管二乙,未分類,未分類
企管四甲企管四乙,未分類,未分類
企管系,未分類,未分類
俄研所,未分類,未分類
俄羅碩一俄羅碩二,未分類,未分類
傳在碩一,未分類,未分類
傳在碩一傳在碩二,未分類,未分類
傳在碩二,未分類,未分類
傳播博一傳播博二,未分類,未分類
傳播碩一,未分類,未分類
傳播碩一傳播碩二,未分類,未分類
傳播院學,未分類,未分類
傳院一丁,未分類,未分類
傳院一丙,未分類,未分類
傳院一乙,未分類,未分類
傳院一甲,未分類,未分類
傳院一甲傳院一乙傳院一丙傳院一丁,未分類,未分類
傳院二甲傳院二乙傳院二丙傳院二丁,未分類,未分類
全創碩一全創碩二,未分類,未分類
全創碩一全創碩二全創碩三,未分類,未分類
公行一,未分類,未分類
公行三,未分類,未分類
公行三公行四,未分類,未分類
公行二,未分類,未分類
公行博一,未分類,未分類
公行碩一,未分類,未分類
公行碩一公行博一公行碩二公行博二,未分類,未分類
公行碩一公行碩二,未分類,未分類
公行系,未分類,未分類
創國學一,未分類,未分類
創國學一創國學二創國學三創國學四,未分類,未分類
創國學三創國學四,未分類,未分類
創國學二,未分類,未分類
創國學二創國學三創國學四,未分類,未分類
創國學四,未分類,未分類
創國學院,未分類,未分類
創國碩士,未分類,未分類
創新創造力研究中心,未分類,未分類
勞工所,勞工研究所,社會科學學院
勞工碩一,勞工研究所,社會科學學院
勞工碩一勞工碩二,勞工研究所,社會科學學院
原碩專一,未分類,未分類
原碩專一原碩專二,未分類,未分類
原碩專一原碩專二原碩專三原碩專四,未分類,未分類
台史所,未分類,未分類
台史碩一,未分類,未分類
台史碩一台史博一台史碩二台史博二,未分類,未分類
台史碩二,未分類,未分類
台文所,未分類,未分類
台文碩一,未分類,未分類
台文碩一台文博一台文碩二台文博二,未分類,未分類
台文碩二,未分類,未分類
哲學一,哲學系,文學院
哲學一哲學二哲學三哲學四,哲學系,文學院
哲學三,哲學系,文學院
哲學二,哲學系,文學院
哲學二哲學三哲學四,哲學系,文學院
哲學碩一哲學博一,哲學系,文學院
哲學碩一哲學博一哲學碩二哲學博二,哲學系,文學院
哲學碩二哲學博二,哲學系,文學院
哲學系,哲學系,文學院
